SALARY;G_PH;G_PR;BBr;HITR;B1R;HRr;SFR;ROEr;RBIR;D_BPF;D_MLVr
6650000;7;0;0,0394;0,25152;0,19091;0,003;0,00303;0,0061;0,06667;99,3251;-0,122
12500000;3;0;0,1366;0,23077;0,13501;0,0424;0,00471;0,0047;0,15542;98,6608;0,169
1850000;19;0;0,1148;0,14754;0,09836;0;0,03279;0,0164;0,11475;99,2689;-0,422
4900000;12;3;0,0808;0,25564;0,18797;0,0113;0,00564;0,0038;0,08647;99,8103;-0,007
1000000;43;0;0,065;0,25;0,205;0,005;0,01;0,01;0,1;98,8265;-0,12
5250000;6;0;0,1569;0,26078;0,15294;0,0431;0,01176;0,0098;0,15098;101,069;0,4
15666666;9;0;0,1512;0,20432;0,10133;0,0565;0,00664;0,0017;0,1495;102,212;0,131
17102149;1;0;0,0681;0,28438;0,24032;0,008;0,00534;0,02;0,05607;97,9597;0,056
3500000;22;0;0,0625;0,21324;0,15441;0,0037;0,02941;0,011;0,11765;99,9904;-0,253
28000000;0;0;0,1094;0,25926;0,14478;0,0589;0,00842;0,0135;0,1734;101,024;0,331
900000;76;1;0,1685;0,18478;0,1413;0,0163;0,00543;0,0054;0,13043;98,1848;-0,097
10442030;4;0;0,1077;0,19255;0,12422;0,0269;0,00414;0,0062;0,08903;101,938;-0,153
6000000;1;0;0,1582;0,19934;0,10544;0,0511;0,01483;0,0099;0,16804;99,2338;0,167
575000;3;6;0,141;0,22436;0,14744;0,0256;0;0,0128;0,11538;101,98;0,186
6333333;9;0;0,1045;0,12687;0,09701;0,0075;0,02239;0,0075;0,05224;100,664;-0,514
12560000;2;0;0,135;0,20415;0,14879;0,0277;0,00346;0,0069;0,10381;98,9395;-0,038
3000000;12;5;0,0559;0,27273;0,21678;0;0,00699;0,007;0,06993;98,5329;-0,032
13000000;5;0;0,1005;0,2619;0,19312;0,0238;0;0,0079;0,11905;101,074;0,09
600000;93;0;0,1389;0,11111;0,08333;0;0,00926;0,0093;0,0463;98,6611;-0,543
